competency_id,reviewer_id,human_quality,human_relevant,human_notes
C9_b1,alice,5.0,yes,
C2_b1,alice,5.0,yes,
C9_b2,alice,5.0,yes,
C2_b2,alice,5.0,yes,
C9_b3,alice,5.0,yes,
C2_b3,alice,5.0,yes,
C8_b4,alice,5.0,yes,
C2_b4,alice,5.0,yes,
C9_b40,alice,5.0,partial,
C2_b40,alice,4.0,partial,
C2_b44,alice,5.0,yes,
C9_b1,school2@domain.com,5.0,yes,
C8_b329,default,5.0,yes,
C9_b248,default,5.0,yes,
C9_b611,default,5.0,yes,
C9_b146,default,5.0,yes,
C9_b516,default,5.0,yes,
C9_b406,default,5.0,yes,
C9_b166,default,5.0,yes,
C9_b78,default,5.0,yes,
C9_b568,default,5.0,yes,
C9_b164,default,5.0,,
C9_b272,default,5.0,yes,
C9_b32,default,5.0,yes,
C9_b56,default,4.0,partial,
C9_b91,default,5.0,yes,
C9_b617,default,5.0,yes,
C9_b77,default,5.0,yes,
C9_b3,default,5.0,yes,
C9_b257,default,5.0,yes,
C9_b312,default,5.0,yes,
C9_b334,default,5.0,yes,
C9_b132,default,5.0,yes,
C9_b292,default,5.0,yes,
C9_b50,default,5.0,yes,
C9_b680,default,5.0,yes,
C9_b494,default,5.0,yes,
C11_b111,default,5.0,yes,
C9_b368,default,5.0,yes,
C9_b279,default,5.0,yes,
C9_b679,default,,partial,
C9_b262,default,5.0,yes,
C9_b464,default,5.0,yes,
C9_b448,default,5.0,yes,
C9_b245,default,5.0,yes,
C9_b627,default,5.0,yes,
C9_b133,default,5.0,yes,
C9_b335,default,5.0,yes,
C9_b451,default,5.0,yes,
C9_b669,default,5.0,yes,
C9_b156,default,5.0,yes,
C9_b322,default,5.0,yes,
C9_b361,default,5.0,yes,
C9_b40,default,5.0,yes,
C10_b87,default,5.0,yes,
C9_b317,default,5.0,yes,
C9_b527,default,5.0,yes,
C9_b213,default,5.0,yes,
C9_b265,default,5.0,partial,
C8_b205,default,5.0,yes,
C9_b79,default,5.0,yes,
C8_b354,default,5.0,yes,
C9_b211,default,5.0,yes,
C9_b290,default,5.0,yes,
C9_b11,default,5.0,yes,
C9_b177,default,5.0,yes,
C9_b652,default,5.0,yes,
C9_b593,default,5.0,partial,
C9_b136,default,5.0,yes,
C9_b647,default,5.0,yes,
C9_b591,default,5.0,yes,
C10_b31,default,5.0,yes,
C9_b630,default,5.0,yes,
C9_b577,default,5.0,yes,
C9_b197,default,5.0,yes,
C9_b42,default,5.0,yes,
C9_b249,default,5.0,yes,
C9_b285,default,5.0,yes,
C9_b57,default,5.0,yes,
C1_b429,default,5.0,yes,
C9_b578,default,5.0,yes,
C9_b543,default,5.0,partial,
C9_b587,default,5.0,,
C9_b25,default,5.0,yes,
C9_b83,default,5.0,yes,
C9_b293,default,5.0,yes,
C9_b159,default,5.0,yes,
C9_b525,default,5.0,yes,
C9_b663,default,5.0,yes,
C9_b71,default,5.0,yes,
C9_b624,default,5.0,yes,
C9_b260,default,5.0,yes,
C8_b175,default,5.0,partial,
C9_b61,default,5,yes,
